| table_name                         | column_name                | data_type                   | description                                                                                                                                                                                                    | constraint_type | key_name                                                | key_column                | foreign_table                      | foreign_column            |
| ---------------------------------- | -------------------------- | --------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | --------------- | ------------------------------------------------------- | ------------------------- | ---------------------------------- | ------------------------- |
| alembic_version                    | version_num                | character varying           |                                                                                                                                                                                                                | PRIMARY KEY     | alembic_version_pkc                                     | version_num               | alembic_version                    | version_num               |
| dim_assistant                      | assistant_id               | character varying           |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_assistant                      | created_at                 | timestamp without time zone |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_assistant                      | uuid                       | uuid                        |                                                                                                                                                                                                                | PRIMARY KEY     | dim_assistant_pkey                                      | uuid                      | dim_assistant                      | uuid                      |
| dim_assistant_entity               | active                     | boolean                     |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_assistant_entity               | created_at                 | timestamp without time zone |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_assistant_entity               | group_id                   | character varying           |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_assistant_entity               | restaurant_uuid            | uuid                        |                                                                                                                                                                                                                | FOREIGN KEY     | public_dim_assistant_entity_restaurant_uuid_fkey        | restaurant_uuid           | dim_restaurant                     | restaurant_uuid           |
| dim_assistant_entity               | supplier_uuid              | uuid                        |                                                                                                                                                                                                                | FOREIGN KEY     | public_dim_assistant_entity_supplier_uuid_fkey          | supplier_uuid             | dim_supplier                       | supplier_uuid             |
| dim_assistant_entity               | type                       | character varying           |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_assistant_entity               | uuid                       | uuid                        |                                                                                                                                                                                                                | PRIMARY KEY     | dim_assistant_entity_pkey                               | uuid                      | dim_assistant_entity               | uuid                      |
| dim_bpo                            | bpo_uuid                   | uuid                        |                                                                                                                                                                                                                | PRIMARY KEY     | dim_bpo_pkey                                            | bpo_uuid                  | dim_bpo                            | bpo_uuid                  |
| dim_bpo                            | created_at                 | timestamp without time zone |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_bpo                            | email                      | character varying           |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_bpo_job                        | bpo_uuid                   | uuid                        |                                                                                                                                                                                                                | FOREIGN KEY     | dim_bpo_job_bpo_uuid_fkey                               | bpo_uuid                  | dim_bpo                            | bpo_uuid                  |
| dim_bpo_job                        | completed_at               | timestamp without time zone |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_bpo_job                        | created_at                 | timestamp without time zone |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_bpo_job                        | job_uuid                   | uuid                        |                                                                                                                                                                                                                | PRIMARY KEY     | dim_bpo_job_pkey                                        | job_uuid                  | dim_bpo_job                        | job_uuid                  |
| dim_bpo_job                        | n_files                    | bigint                      |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_bpo_job                        | restaurant_uuid            | uuid                        |                                                                                                                                                                                                                | FOREIGN KEY     | dim_bpo_job_restaurant_uuid_fkey                        | restaurant_uuid           | dim_restaurant                     | restaurant_uuid           |
| dim_bpo_job                        | user_uuid                  | uuid                        | Issuer of the job                                                                                                                                                                                              | FOREIGN KEY     | dim_bpo_job_user_uuid_fkey                              | user_uuid                 | dim_user                           | user_uuid                 |
| dim_document                       | created_at                 | timestamp without time zone |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_document                       | created_at_utc             | timestamp without time zone |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_document                       | document_type              | USER-DEFINED                |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_document                       | document_uuid              | uuid                        |                                                                                                                                                                                                                | PRIMARY KEY     | dim_document_pkey                                       | document_uuid             | dim_document                       | document_uuid             |
| dim_document                       | file_path                  | character varying           |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_document                       | is_visible                 | boolean                     |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_document                       | restaurant_uuid            | uuid                        |                                                                                                                                                                                                                | FOREIGN KEY     | dim_document_restaurant_uuid_fkey                       | restaurant_uuid           | dim_restaurant                     | restaurant_uuid           |
| dim_document                       | updated_at                 | timestamp without time zone |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_document                       | updated_at_utc             | timestamp without time zone |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_failed_query                   | created_at                 | timestamp without time zone |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_failed_query                   | created_at_utc             | timestamp without time zone |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_failed_query                   | error_string               | character varying           |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_failed_query                   | query                      | character varying           |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_failed_query                   | table                      | character varying           |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_failed_query                   | uuid                       | uuid                        |                                                                                                                                                                                                                | PRIMARY KEY     | dim_failed_query_pkey                                   | uuid                      | dim_failed_query                   | uuid                      |
| dim_ingredient                     | category_uuid              | uuid                        |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_ingredient                     | cost                       | double precision            |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_ingredient                     | created_at                 | timestamp without time zone |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_ingredient                     | created_at_utc             | timestamp without time zone |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_ingredient                     | gi_uuid                    | uuid                        |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
